nodeid,name
42402ac4-aa39-11ea-b04a-02e7594ce0a0,Feature Sediment Transition
947cca97-1ea5-11eb-af98-02e7594ce0a0,GE Imagery Acquisition Date
43501e28-8f7d-11ea-a6a6-02e7594ce0a0,Related Information Resource
4beffbc2-8f76-11ea-a6a6-02e7594ce0a0,Quaternary Division Certainty
4d3de2a6-8f9d-11ea-a6a6-02e7594ce0a0,Feature Landform Number Type
4f7003ee-99a5-11ea-b04a-02e7594ce0a0,Process Indicator/Evidence of
5297fa9f-8e16-11ea-a6a6-02e7594ce0a0,GEOARCH ID
5297faa9-8e16-11ea-a6a6-02e7594ce0a0,Assessment Investigator - Actor
61ad111d-c7f1-11ea-a292-02e7594ce0a0,Geography
61ad1121-c7f1-11ea-a292-02e7594ce0a0,Grid ID
61ad1127-c7f1-11ea-a292-02e7594ce0a0,Modern Country Territory
61ad1129-c7f1-11ea-a292-02e7594ce0a0,Country Type
6c5720fd-c7f2-11ea-a292-02e7594ce0a0,Geometry
6c572100-c7f2-11ea-a292-02e7594ce0a0,Geometry Location Observation
6c572101-c7f2-11ea-a292-02e7594ce0a0,Geometry Qualifier
6c572102-c7f2-11ea-a292-02e7594ce0a0,Geometry Extent Certainty
6c572103-c7f2-11ea-a292-02e7594ce0a0,Spatial Coordinates Ref System
6c572105-c7f2-11ea-a292-02e7594ce0a0,Location Certainty
6d3e2674-8f9d-11ea-a6a6-02e7594ce0a0,Feature Landform Type Certainty
73f48686-99a5-11ea-b04a-02e7594ce0a0,Indicator Belief
81f2e5aa-8f75-11ea-a6a6-02e7594ce0a0,Geoarchaeology Certainty Observation
8a202944-c7f2-11ea-a292-02e7594ce0a0,Maritime Region
8af31e3c-b9f4-11ea-9b1f-02e7594ce0a0,Related Heritage Place
8b38c406-99a5-11ea-b04a-02e7594ce0a0,Process Indicator Certainty
92f84dd8-8f9b-11ea-a6a6-02e7594ce0a0,Geoarchaeology Feature Assessment
947cca9a-1ea5-11eb-af98-02e7594ce0a0,Imagery Acquisition Date
947cca9d-1ea5-11eb-af98-02e7594ce0a0,Information Resource
947ccaa3-1ea5-11eb-af98-02e7594ce0a0,Assessment Activity Date
947ccaa4-1ea5-11eb-af98-02e7594ce0a0,Assessment Activity Type
947ccaa5-1ea5-11eb-af98-02e7594ce0a0,Google Earth Assessment
8fc30f34-cb7e-11ea-a292-02e7594ce0a0,Component Classification
9e035d58-99a5-11ea-b04a-02e7594ce0a0,Process Indicator/Evidence of Type
a107cddf-b14e-11ea-9b1f-02e7594ce0a0,Depth/Elevation
a107cde2-b14e-11ea-9b1f-02e7594ce0a0,Datum Description/EPSG code
d502562b-cb90-11ea-a292-02e7594ce0a0,Material
a107cde3-b14e-11ea-9b1f-02e7594ce0a0,Datum Type
a107cde4-b14e-11ea-9b1f-02e7594ce0a0,Minimum Depth/Max Elevation
a107cde5-b14e-11ea-9b1f-02e7594ce0a0,Datum
a107cde6-b14e-11ea-9b1f-02e7594ce0a0,Maximum Depth/Min Elevation
a798faf0-c7f2-11ea-a292-02e7594ce0a0,Maritime Region Type
aa130451-ca9b-11ea-a292-02e7594ce0a0,Designation
aa130454-ca9b-11ea-a292-02e7594ce0a0,Designation Event Timespan
aa130455-ca9b-11ea-a292-02e7594ce0a0,Designation To Date
aa130456-ca9b-11ea-a292-02e7594ce0a0,Designation From Date
b3cbce96-abf6-11ea-b04a-02e7594ce0a0,Marine Isotope Stages Belief
ba6d81d0-8f9b-11ea-a6a6-02e7594ce0a0,Feature Landform Belief
bfd9064c-8f75-11ea-a6a6-02e7594ce0a0,General Date
